koryakov_bd_id,eng_vil_name,rus_vil_name,rus_vil_name_mdg,censuses.1885.people,censuses.1895.people,censuses.1926.people,censuses.2010.people,Lat,Lon,Language,Lect,Republic,Region,elevation
423,,Саминг,Саминг,,,92,,,,,,,,
425,,разв. Тунситль,разв. Тунситль,,,149,,,,,,,,
427,,Хвадо-Кало,Хвадо-Кало,,,55,,,,,,,,
429,,Шама,Шама,,,44,,,,,,,,
431,,Шушу-Кари,Шушу-Кари,,,32,,,,,,,,
433,Mesterukh,Местерух,Местерух,492,504,585,1009,42.5747,46.3964,Avar,,Daghestan,,1550.97
435,Mekhel'ta,Мехельта,Мехельта,1873,10171,1919,3309,42.798277,46.497361,Avar,,Daghestan,,1487.86
437,Miarso,Миарсо,Миарсо,278,282,276,1714,42.654059,46.175643,Botlikh,,Daghestan,,825.15
439,Muni,Муни,Муни,911,748,586,3220,42.680242,46.308874,Andi,,Daghestan,,714.58
441,Ortakolo,Ортаколо,Ортаколо,162,137,80,598,42.67057,46.38882,Avar,,Daghestan,,651.72
443,Rushukha,Рушуха,Рушуха,,,47,58,42.71509,46.28112,Andi,,Daghestan,,1677.9
445,Ratsitl',Рацитль,Рацитль,343,360,362,112,42.63788,46.33455,Karata,,Daghestan,,1893.68
447,Rikvani,Риквани,Риквани,687,770,836,769,42.782304,46.319372,Andi,,Daghestan,,1874.55
449,Staryy Sivukh,Старый Сивух,Старый Сивух,802,882,772,,42.80278,46.43694,Avar,,Daghestan,,1874.59
451,Tad-Magitl',Тад-Магитль,Тад-Магитль,735,331,295,1203,42.550266,46.348953,Akhvakh,,Daghestan,,1443.9
453,Kvankero,Кванкеро,Кванкеро,,496,205,369,42.55244,46.3404,Akhvakh,,Daghestan,,1359.34
455,,Куитли,Куитли,,,201,,,,,,,,
457,,Мазаетлох,Мазаетлох,,,51,,,,,,,,
459,,Чакидири,Чакидири,,,36,,,,,,,,
461,,Чанди,Чанди,,,112,,,,,,,,
463,,Чухотль,Чухотль,,,47,,,,,,,,
465,Tando,Тандо,Тандо,571,564,653,641,42.707696,46.175693,Avar,,Daghestan,,1452.21
467,Tasuta,Тасута,Тасута,240,275,347,369,42.71731,46.22568,Avar,,Daghestan,,1614.82
469,,Анхо,Анхо,,,30,,,,,,,,
471,Tindi,Тинди,Тинди,1678,2050,386,2309,42.454716,46.13469,Tindi,,Daghestan,,1489.01
473,,Анисучи,Анисучи,,,8,,,,,,,,
475,,Анхи,Анхи,,,29,,,,,,,,
477,,коч. Анцуда,коч. Анцуда,,,19,,,,,,,,
479,,Ачилобачи,Ачилобачи,,,37,,,,,,,,
481,,? Бехвалутчи/Бехахутли,? Бехвалутчи/Бехахутли,,,45,26,,,,,,,
483,,Бичичи,Бичичи,,,98,,,,,,,,
485,,Гагичи,Гагичи,,,10,,,,,,,,
487,Gadaychi,Гадайчи,Гадайчи,,,73,210,42.470059,46.070951,Tindi,,Daghestan,,1052.09
489,,Ганга,Ганга,,,36,,,,,,,,
491,,Гачитль,Гачитль,,,31,,,,,,,,
493,Gvanachi,Гвиначи,Гвиначи,,,141,45,42.4606005,46.1622609,Tindi,,Daghestan,,1965.69
495,,Италт,Италт,,,7,,,,,,,,
497,,Ичидары,Ичидары,,,8,,,,,,,,
499,,Качак,Качак,,,8,,,,,,,,
501,,Койны,Койны,,,18,,,,,,,,
503,,Косачи,Косачи,,,52,,,,,,,,
505,,Мулла,Мулла,,,116,,,,,,,,
507,,Мусаря,Мусаря,,,76,,,,,,,,
509,,Обатль,Обатль,,,48,,,,,,,,
511,Gunduchi,Гундучи,Гундучи,,,102,,42.424818,46.15836,Tindi,,Daghestan,,1719.97
513,Sanukh,Санух,Санух,,,47,23,42.47054,46.13446,Tindi,,Daghestan,,1805.66
515,Tenla,Тенла,Тенла,,,82,65,42.465771,46.128629,Tindi,,Daghestan,,1639.41
517,Tissi-Akhitli,Тисси-Ахитли,Тисси-Ахитли,,,56,446,42.501506,46.103923,Tindi,,Daghestan,,1002.21
519,Tissi,Тисси,Тисси,204,225,331,576,42.48917,46.14395,Tindi,,Daghestan,,1674.44
521,,Халаки,Халаки,,,27,,,,,,,,
523,Khalikh,Халих,Халих,,,32,48,42.48467,46.09121,Tindi,,Daghestan,,1088.78
525,,Хилачи,Хилачи,,,11,,,,,,,,
527,,коч. Ханаси,коч. Ханаси,,,32,,,,,,,,
529,,Цератли,Цератли,,,50,,,,,,,,
531,,Элла,Элла,,,41,,,,,,,,
533,,Эмимигич,Эмимигич,,,53,,,,,,,,
535,Tlibisho,Тлибишо,Тлибишо,287,296,250,939,42.56054,46.30101,Bagvalal,,Daghestan,,1667.69
537,Tlisi,Тлиси,Тлиси,99,97,149,210,42.56209,46.27428,Bagvalal,,Daghestan,,1976.58
539,Tlondoda,Тлондода,Тлондода,532,485,559,466,42.5247,46.1989,Bagvalal,,Daghestan,,1946.62
541,Tlokh,Тлох,Тлох,1078,1383,945,2741,42.6492,46.4578,Avar,,Daghestan,,1059.96
543,Tlyanub,Тлянуб,Тлянуб,464,594,494,229,42.43568,46.45745,Akhvakh,,Daghestan,,1645.93
545,,Тлярата,Тлярата,318,343,318,582,,,,,,,
547,,Тукита,Тукита,584,643,657,765,,,,,,,
549,Khvarshi,Хварши,Хварши,538,525,281,335,42.353471,46.107859,Xvarshi,,Daghestan,,2044.16
551,Santlada,Сантлада,Сантлада,180,209,148,109,42.38431,46.07505,Xvarshi,Inkhoqwari,Daghestan,,1742.73
553,,Хонох,Хонох,,,65,581,,,,,,,
555,Kheleturi,Хелетури,Хелетури,410,445,580,721,42.612495,46.225441,Avar,,Daghestan,,1449.51
557,Khushtada,Хуштада,Хуштада,739,664,813,842,42.517389,46.166126,Bagvalal,,Daghestan,,1665.2
559,Tsekob,Цекоб,Цекоб,481,536,493,143,42.422785,46.450219,Akhvakh,,Daghestan,,1613.07
561,Tsilitl',Цилитль,Цилитль,466,509,521,520,42.8125,46.4156,Avar,,Daghestan,,1904.13
563,Tsoloda,Цолода,Цолода,409,430,577,535,42.63827,46.36626,Avar,,Daghestan,,2157.97
565,Chanko,Чанко,Чанко,264,351,116,485,42.717936,46.246417,Andi,,Daghestan,,1603.62
567,,Анхо,Анхо,,,28,37,,,,,,,
569,,Камилю,Камилю,,,8,,,,,,,,
571,,Митларота,Митларота,,,54,,,,,,,,
573,Khando,Хандо,Хандо,,,18,35,42.72694,46.23361,Andi,,Daghestan,,1472.68
575,,Шувуральда,Шувуральда,,,42,,,,,,,,
577,Chirkata,Чирката,Чирката,642,639,819,1923,42.783992,46.716609,Avar,,Daghestan,,422.57
579,Shabdukh,Шабдух,Шабдух,228,218,224,145,42.75612,46.42139,Avar,,Daghestan,,1914.83
581,Tsundi,Цунди,Цунди,210,229,194,368,42.740996,46.436577,Avar,,Daghestan,,1735.39
583,Shodroda (Shadroda),Шодрода,Шодрода,453,436,572,807,42.678426,46.12155,Avar,,Daghestan,,1205.69
657,Aymaki,Аймаки,Аймаки,663,748,884,2342,42.5342,47.1383,Avar,,Daghestan,,1282.49
659,Arkas,Аркас,Аркас,140,146,268,317,42.65194,47.13833,Avar,,Daghestan,,1281.19
661,,Хамхартала,Хамхартала,,,36,,,,,,,,
