yid	name	censuses.1885.people	censuses.1895.people	censuses.1926.people	censuses.2010.people
4713	Галатли		194	48	199
7108	Гамиях				2525
1279	Гамсутль	204	222	227	6
1313	Гандарамахи			78	186
8074	Гандурар				37
8132	Гапцах				3557
1417	Гапшима	741	727	656	1706
4207	Гараколоб	91	98	60	246
3993	Гарах			308	362
8041	Гарбилазда				17
4221	Гарбутль	129	134	55	249
3165	Гарик	88	89	103	37
2399	Гасик	160	164	173	404
73	Гацалух	340	364	363	473
279	Гачитли	121	117	75	128
2103	Гаша	174	169	81	54
4243	Гведыш	202	200	99	766
493	Гвиначи			141	45
4059	Гдым	610	641	180	388
3935	Гдынк	364	365	301	398
1425	Геба	573	540	536	737
4189	Гебгуда	74	28	15	49
1991	Геджух			118	6829
9007	Гекнаумахи		26	0	
667	Гели	2312	2390	1527	2796
8163	Гелинбатан				671
3909	Гельбах	853	820	593	1474
4077	Гельмец	358	368	403	611
3033	Гельхен	574	541	496	576
7010	Геметюбе				1511
8209	Геназох				3
4245	Гендух	81	85	28	284
4257	Генеколоб	215	229	236	750
7194	Генжеаул				782
8152	Геницуриб				103
77	Геничутль	426	457	261	315
4759	Гениятль	159	140	68	172
1227	Гента	547	521	559	583
4705	Генух	35	148	150	543
8094	Герга				3913
945	Гергебиль	1193	1310	1489	5196
8027	Гергентала				25
8157	Герейхановское				3490
4259	Герель	117	104	122	395
7001	Герменчик				2230
8079	Гертма				1559
1423	Герхмахи	584	600	611	2084
8191	Гигатли-Урух				267
331	Гигатль	824	496	767	1349
295	Гигих			5	103
4139	Гидатли	47	52	46	
8155	Гидатлинский Мост				12
1151	Гидиб	139	145	316	61
947	Гилиб	462	463	438	642
3041	Гильяр	505	511	632	2023
341	Гимерсо	304	253	285	211
75	Гимры	1130	1125	1156	4651
4125	Гиндиб	269	297	173	305
1427	Гинта	1233	1208	1073	1535
2307	Гисик	67	73	82	293
1681	Гиягарамахи		71	54	73
3045	Гоа	208	215	266	476
949	Гоаб	274	269	332	234
3645	Говкра	315	276	204	70
957	Гоготль	450	482	436	466
343	Годобери	887	1147	743	3050
8040	Годобери				6
91	Гозолоколо	153	146	167	162
7218	Гоксув				748
81	Голотль	714	735	700	1493
8178	Гондокори				257
959	Гонода	599	637	639	1415
83	Гонох	174	172	196	373
1267	Гонтлоб	64	66	59	33
1009	Гоор	932	896	813	809
1021	Гоор-Хиндах			103	267
87	Гортколо	270	272	231	241
4261	Гортноб	82	87	73	197
8080	Гостала				519
93	Гоцатль Большой	1028	1089	935	2189
95	Гоцатль Малый			224	581
123	Гоцоб	168	160	159	164
961	Гочада	622	661	459	147
973	Гочоб	688	765	702	476
7212	Гребенской Мост				
7090	Грузинское				191
3717	Губден	7111	6991	6122	8624
2271	Гувлиг	141	149	122	487
1457	Гузбая			38	11
3507	Гуйми	396	448	311	70
1435	Гуладты	726	699	638	663
1431	Гуладтымахи	507	491	472	417
1895	Гулебки	259	255	209	386
8091	Гулли				2058
2327	Гульды	173	167	151	145
2265	Гуми	248	256	251	261
1315	Гумрамахи			151	642
2175	Гунакари	271	275	201	371
511	Гундучи			102	
4227	Гунзиб	148	163	45	199
8081	Гуни				3101
1247	Гуниб			387	2271
1683	Гуннамахи		65	27	59
963	Гунух	326	331	317	87
271	Гунха	198	214	242	129
3731	Гурбуки			13	5321
1713	Гургумахи		176	76	541
2293	Гурик	358	266	412	804
8162	Гурхунь				559
4707	Гутатли	160		132	363
3499	Гущи	209	222	193	65
2297	Гюгряг	155	152	145	268
3407	Гюхряг	201	172	91	1456
1167	Дагбаш	426	415	441	264
8220	Дагестанские Огни				27926
2299	Дагни	160	160	166	313
1067	Дадулазда			66	26
2329	Дакниса	200	201	208	436
7059	Дальнее				417
1545	Дамкулакада		143	97	48
359	Данух	274	220	390	810
1159	Дарада			216	217
2005	Дарваг	961	968	1223	2889
3141	Дардаркент	288	258	196	367
3121	Даркушказмаляр			132	2805
139	Датуна	67	80	75	179
3779	Дахадаевка			166	284
1439	Дегва	411	132	540	821
1441	Дейбук	931	980	991	434
2007	Деличобан	521	487	485	2216
8069	Демирар				101
5	Дербент			23097	118599
3951	Джаба	1504	1792	806	703
2149	Джаванкент	1168	1177	760	1013
2155	Джавгат	466	470	579	2185
17	Джалатури	169	190	160	82
2021	Джалган	271	272	442	724
8127	Джанга				1204
1445	Джангамахи	783	259	301	698
2023	Джемикент	687	647	750	2555
3329	Джепель	123	106	195	634
2153	Джибахни	735	740	567	1200
2255	Джигия	116	120	129	289
4013	Джилихур			251	742
2217	Джинаби	385	342	338	706
4005	Джиных	537	532	262	277
2331	Джирабачи	470	470	451	531
2429	Джугдиль	272	271	325	917
8018	Джугут				406
3303	Джули	358	390	386	631
2301	Джульджаг	180	180	163	715
2303	Джульджиниф	70	62	68	197
2379	Джурмачи	223	231	256	152
7167	Дзержинское				2072
1451	Дзилебки	406	398	481	714
2375	Дибгалик	359	367	357	557
2165	Дибгаши	532	527	450	1130
8119	Дилчу				
1693	Динго			22	
8053	Дирбакмахи				238
1481	Дитуншимахи	133	133	152	486
677	Доргели	4291	4620	3162	5781
951	Доронуб	123	131	111	150
8095	Дружба				3675
1455	Дуакар	276	263	291	248
8075	Дубки				5202
1323	Дубримахи	943	999	256	692
3057	Дулдуг	371	386	380	544
705	Дуранги	329	342	345	553
2257	Дуреги	287	279	335	270
977	Дусрах	333	333	315	280
7115	Дучи				1102
8076	Дылым				8600
2177	Дюбек	878	818	1041	1893
8064	Дюзлер				562
2415	Екраг	128	141	160	156
2305	Ергюняг	62	59	64	60
2185	Ерси	735	750	1197	1805
7026	Ефимовка				602
4167	Жажада	76	81	58	199
8169	Жалда				
1561	Жамсоры		42	73	
3061	Заза	494	500	470	37
8042	Зазилькала				36
199	Заиб			56	226
131	Заната	200	202	159	198
7080	Заречное				852
7046	Заря Коммуны				882
8177	Захит				1138
8126	Зеленоморск				1005
4709	Зехида	103	105	82	502
361	Зибирхали	285	279	147	64
2031	Зидьян	533	532	574	150
2037	Зидьян-Казмаляр			332	977
3071	Зизик	508	494	489	1235
273	Зило	569	469	510	1220
2193	Зиль	346	345	433	454
2187	Зильбачи	325	339	397	941
3079	Зильдик	475	446	512	585
1881	Зильмукмахи	193	223	244	328
55	Зирани	154	160	188	65
1231	Зиуриб	226	239	232	326
3953	Зрых	768	760	843	1838
2377	Зубанчи	616	622	664	1639
8106	Зубутли-Миатли				4530
1547	Зурилаудимахи		83	143	461
3025	Зухрабкент	469	452	396	250
4605	Ибрагимотар				1232
1069	Ивайлазда			32	73
99	Игали	1138	1135	856	2558
4069	Играх	158	159	182	2
379	Изано	412	433	318	1211
3773	Избербаш			7	55279
4143	Изта	34	39	17	17
3085	Икра	1343	1085	1288	1620
8087	Иманалиросо				308
7075	Имени Жданова				1990
7035	Имени К.Маркса				2191
7030	Имени Калинина				82
7102	Имени Кирова				674
8058	Имени Мичурина				878
7077	Имени Шаумяна				1205
7150	Имунный				363
383	Ингердах	456	490	531	1065
385	Ингиши	414	454	455	839
8005	Индира				429
1325	Инзимахи			145	1382
3467	Иниша	167	163	114	131
209	Инквалита	173	176	135	46
1695	Инкучимахи		65	86	541
8007	Инхело				841
4693	Инхоквари	289	319	238	258
8082	Инчха				2080
8099	Инчхе				195
1035	Ипута			217	97
2189	Ираги	352	353	361	843
2171	Ираки	286	299	251	394
1503	Иргали	202	226	204	206
107	Ирганай	596	613	699	2290
993	Ириб	562	555	460	1108
2343	Иричи	121	121	90	8
3089	Испик	520	485	581	1274
8090	Иха				462
8208	Иха				20
3959	Ихрек	1725	1669	1456	2049
2197	Ицари	535	563	639	223
4681	Ицирах	61	58	23	487
4071	Иче	189	195	242	2
3225	Ичин	484	481	434	333
403	Ичичали	489	484	482	156
211	Иштибури	194	192	196	292
4277	Кабасида	28	36	22	16
3113	Кабир	1932	1987	1135	1424
3097	Кабир-Казмаляр			411	2191
8071	Кавалар				126
1327	Кавкамахи	489	523	426	1407
713	Кадар	3261	3214	1530	2276
1645	Каддамахи	46	46	48	94
3735	Кадиркент			112	871
7192	Кадыротар				805
7198	Казмааул				1337
3961	Кака	726	700	632	1653
801	Кака-Шура	3626	3922	3097	6030
803	Какамахи			71	1270
1479	Какамахи	955	933	770	2652
1333	Какмахи			62	612
1997	Кала	160	167	154	1751
4095	Кала	196	181	171	410
3963	Каладжух	1335	1331	795	1758
925	Калиб			43	
4607	Калининаул				609
7127	Калининаул				537
8083	Калининаул				4532
7146	Калиновка				1805
2173	Калкни	592	587	488	1316
3937	Калук			254	1231
3965	Кальял	520	526	158	399
3565	Камахал	284	313	246	53
3561	Камаша	243	247	230	25
4263	Камилух	352	346	207	904
1343	Камкадамахи			114	288
1483	Канасираги	837	791	703	733
7168	Кандаураул				1663
3503	Кани	784	814	526	289
2205	Капкайкент	1411	1413	920	1020
3511	Кара	1200	1226	819	532
7140	Карабаглы				704
3757	Карабудахкент	4023	3709	3220	15361
7129	Карагас				1970
2099	Карадаглы	131	132	182	788
1041	Карадах			9	392
4279	Карадла	38	48	23	33
3973	Каракюре	3073	2844	2368	1209
719	Карамахи			810	4489
3769	Каранай Аул	450	538	485	1693
953	Карануб	194	197	145	161
7131	Карасу				758
405	Карата	960	948	1262	4154
8213	Каратюбе				286
8212	Караузек				535
2209	Карацан	725	689	754	1162
3505	Караша	460	460	414	165
1651	Карашимахи	81	70	46	59
1665	Караямахи	76	79	54	60
1489	Карбучимахи	441	456	390	276
1607	Кардамахи			78	107
4127	Кардиб	260	296	165	391
8124	Кардмахи				
7047	Кардоновка				1877
1907	Карекадани	1107	165	259	730
1813	Каркаци	70	50	53	68
1799	Карлабко	716	702	696	2686
7200	Карланюрт				3333
7203	Карланюрт				2248
2215	Карталай	445	429	246	599
3115	Картас-Казмаляр			212	1817
3075	Карчаг	754	761	724	1738
8000	Карша				1230
8221	Каспийск				99841
1667	Кассагумахи	155	110	103	143
3125	Касумкент	580	623	1296	13234
4281	Катросо	123	117	46	81
825	Кафыр-Кумух	1298	1116	1231	5103
115	Ках	212	221	211	276
65	Кахабросо	345	341	311	796
1007	Кахиб	1610	1682	1312	1090
109	Кахикал	105	124	116	339
3447	Кахцуг	488	441	394	643
8211	Качалай				938
3393	Качалкент	239	241	217	258
721	Качкалык			408	419
8144	Качкилик				
3513	Кая	2253	2293	1420	579
2041	Каякент	2118	2050	2166	11145
8184	Квами				53
413	Кванада	846	830	996	1389
453	Кванкеро		496	205	369
4697	Квантлада	271	278	177	86
415	Кванхидатли	546	419	420	921
3035	Квардал	120	150	161	184
4145	Кверсатль	100	87	28	11
1027	Кегер	608	3475	709	596
4701	Кеди	484	527	285	740
7210	Кемсиюрт				568
7105	Кенафный Завод				64
8070	Керимханар				102
7082	Керликент				196
1339	Кертукмахи			94	662
927	Кесериб			76	82
4703	Кидеро	269	357	283	748
409	Кижани	309	314	309	345
3851	Кизилюрт			223	32552
7222	Кизляр				48939
1031	Кикуни	1081	943	1008	3224
3999	Килер			458	395
411	Килятль	581	519	637	1034
4683	Кимятли	81	83	20	242
3987	Кина	240	262	196	653
3333	Кирка			96	1252
2219	Кирки	423	398	434	175
8102	Кироваул				2175
2233	Кирцик	316	305	253	92
4767	Китлярта	32	37	10	216
4761	Китури	179	220	77	666
