koryakov_bd_id,lang_1_K,eng_vil_name,rus_vil_name,rus_vil_name_mdg,census_1885,census_1895,census_1926,census_2010,Lat,Lon,lang_1_S,elevation
245,Andi,Tsibilta,Цибильта,Цибильта,,,90,47,4274322,4624311,Andi,196224
247,Andi,,Цумаль,Цумаль,,,3,,,,,
249,Avar,Ansalta,Ансалта,Ансалта,1265,1381,1373,4598,426939,461147,Avar,110371
251,Avar,Rakhata,Рахата,Рахата,,,373,2911,426911,461414,Avar,101746
253,Karata,Anchik (Anchikh),Анчик,Анчик,571,664,813,817,42608098,46271717,Karata,119612
255,Karata,Tsumali,Цумали,Цумали,,,43,195,42607619,46260923,Avar,139616
257,Avar,Argvani,Аргвани,Аргвани,914,958,974,797,428128,465792,Avar,159382
259,Karata,Archo,Арчо,Арчо,326,299,406,346,42597691,46305756,Karata,152414
261,Avar,Assab,Ассаб,Ассаб,946,979,835,1640,42471596,46492475,Avar,159657
263,Botlikh,Botlikh,Ботлих,Ботлих,1105,1041,1253,10787,42667813,46221451,Botlikh,96376
265,Botlikh,,Аманы,Аманы,,,41,,,,,
267,Andi,Gagatli,Гагатли,Гагатли,1360,1500,1981,3543,42800361,46292645,Andi,171354
269,Andi,,Бичила,Бичила,,,20,,,,,
271,Andi,Gunkha,Гунха,Гунха,198,214,242,129,4278968,4628275,Andi,158626
273,Andi,Zilo,Зило,Зило,569,469,510,1220,42731394,46319223,Andi,120237
275,Avar,Gadari,Гадари,Гадари,359,355,306,254,42807303,46621237,Avar,127223
277,Chamalal,Gadiri,Гадири,Гадири,481,547,522,418,42566265,46065746,Chamalal,196558
279,Chamalal,Gachitli,Гачитли,Гачитли,121,117,75,128,42551361,46088803,Chamalal,176331
281,Chamalal,,Идходатль,Идходатль,,,13,,,,,
283,Chamalal,,Цатини,Цатини,,,14,,,,,
285,Chamalal,Verkhnie Gakvari,Верхнее Гаквари,Верхнее Гаквари,,,191,383,42547874,46032686,Chamalal,191733
287,Chamalal,Agvali,Агвали,Агвали,,,72,,42541192,46121798,Chamalal,96258
289,Chamalal,,Асали,Асали,,,24,,,,,
291,Chamalal,,Бекахатль,Бекахатль,,,26,,,,,
293,Chamalal,,Бицида,Бицида,,,58,,,,,
295,Chamalal,Gigikh,Гигих,Гигих,,,5,103,42532529,46101767,Chamalal,131626
297,Chamalal,,Исибки,Исибки,,,10,,,,,
299,Chamalal,,Эгдада,Эгдада,,,95,202,,,,
301,Chamalal,,Кабилач,Кабилач,,,8,,,,,
303,Chamalal,,Кирижбай,Кирижбай,,,35,,,,,
305,Chamalal,,Коляда,Коляда,,,12,,,,,
307,Chamalal,,Мачбал,Мачбал,,,42,,,,,
309,Chamalal,,Мухгада,Мухгада,,,12,,,,,
311,Chamalal,Nizhnie Gakvari,Нижние Гаквари,Нижние Гаквари,1179,1303,396,497,4253602,4605171,Chamalal,162531
313,Chamalal,Richaganikh,Ричаганих,Ричаганих,277,324,172,175,4249724,4605853,Chamalal,178074
315,Chamalal,,Сусла,Сусла,,,6,,,,,
317,Chamalal,,Хаутли,Хаутли,,,20,,,,,
319,Chamalal,,Хинч,Хинч,,,131,,,,,
321,Chamalal,,Хувалач,Хувалач,,,22,,,,,
323,Chamalal,Tsidatl',Цидатль,Цидатль,,,93,143,4251855,4605795,Chamalal,163028
325,Chamalal,Tsuydi,Цуйди/Цунди,Цуйди/Цунди,,,72,30,4252334,4607182,Chamalal,161033
327,Chamalal,,Чунаси,Чунаси,,,12,,,,,
329,Chamalal,,Исси,Исси,,,27,,,,,
331,Chamalal,Gigatl',Гигатль,Гигатль,824,496,767,1349,4258136,460964,Chamalal,178237
333,Chamalal,Batlakhatli,Батлахатли,Батлахатли,,,72,3,42580364,46058877,Chamalal,172736
335,Chamalal,,Калих-3,Калих-3,,,62,,,,,
337,Chamalal,,Инцатли,Инцатли,,,14,,,,,
339,Chamalal,,Цачах,Цачах,,,116,,,,,
341,Bagvalal,Gimerso,Гимерсо,Гимерсо,304,253,285,211,42561489,46227545,Bagvalal,167871
343,Godoberi,Godoberi,Годобери,Годобери,887,1147,743,3050,426258,461189,Godoberi,143876
345,Godoberi,,Белуха,Белуха,,,4,,,,,
347,Godoberi,,Букуду,Букуду,,,6,,,,,
